# space_data.txt

# Moon
What is the Moon|The Moon is Earth's only natural satellite.

# Distance between Earth and Mars
What is the average distance between Earth and Mars|The average distance between Earth and Mars is about 225 million kilometers.

# Black Holes
What are black holes|Black holes are regions of spacetime exhibiting gravitational acceleration so strong that nothing—no particles or even electromagnetic radiation such as light—can escape from it.

# Characteristics of Jupiter
What are the characteristics of Jupiter|Jupiter is the largest planet in our solar system and is primarily composed of hydrogen and helium. It has a strong magnetic field and dozens of known moons.

# Phases of the Moon
What phases does the Moon go through|The Moon goes through several phases, including new moon, first quarter, full moon, and last quarter, as it orbits Earth.

# Quasar
What is a quasar?|A quasar is an extremely luminous and energetic active galactic nucleus powered by a supermassive black hole.

# Mars Rover Missions
What are the Mars Rover missions|The Mars Rovers, such as Spirit, Opportunity, and Curiosity, are robotic spacecraft sent by NASA to explore the surface of Mars.

# Voyager Spacecraft
Tell me about the Voyager spacecraft|The Voyager spacecraft are two robotic probes launched by NASA to study the outer Solar System and beyond.

# Purpose of the Hubble Space Telescope
Why was the Hubble Space Telescope launched?|The Hubble Space Telescope was launched to observe distant galaxies, nebulae, and other astronomical phenomena with unprecedented clarity.

# ISRO's History
When was ISRO founded|ISRO, the Indian Space Research Organisation, was founded in 1969 and has achieved numerous milestones in space exploration, satellite launches, and interplanetary missions.

# Notable Achievements of ISRO
What are some notable achievements of ISRO?|ISRO's achievements include launching a record number of satellites in a single mission, the Mars Orbiter Mission, and successful satellite launches for communication, navigation, and Earth observation.

# Chandrayaan Mission
Tell me about the Chandrayaan mission.|Chandrayaan is India's lunar exploration program, including the successful Chandrayaan-1 mission that discovered water molecules on the Moon.

# Upcoming Space Missions or Launches
Where can I find information on upcoming space missions and launches?|For information on upcoming space missions and launches, it is recommended to check official space agency websites or reliable news sources.

# Next Solar Eclipse
When will the next solar eclipse occur?|Solar eclipses occur when the Moon passes between the Sun and Earth. Information on the next solar eclipse can be obtained from astronomical calendars.

# Latest News in Space Exploration
Where can I find the latest news in space exploration|For the latest news in space exploration, consider checking reputable space news websites or official space agency announcements.

# How Satellites Work
How do satellites work?|Satellites orbit Earth and can be natural (like the Moon) or artificial. Artificial satellites are used for communication, navigation, weather monitoring, and scientific research.

# Uses of Space Telescopes
